epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,32610,0.96378,1.12556,1.06436,0.93543,0.77319,0.82454,0.60485,1.01965,1.20244,1.11351,5.4704e-05,5.4704e-05,5.4704e-05
42,33159.6,0.94247,1.08766,1.05104,0.93714,0.76947,0.82352,0.6092,1.00479,1.21352,1.10244,4.94966e-05,4.94966e-05,4.94966e-05
43,33742.3,0.94902,1.08234,1.05859,0.92965,0.79167,0.83562,0.61625,1.00045,1.15182,1.10744,4.42892e-05,4.42892e-05,4.42892e-05
44,34343.6,0.94009,1.06776,1.05758,0.94244,0.77535,0.82682,0.61125,1.00679,1.18781,1.11245,3.90818e-05,3.90818e-05,3.90818e-05
45,35048.2,0.92841,1.05496,1.05224,0.93731,0.78926,0.83736,0.62094,0.98907,1.14016,1.09973,3.38744e-05,3.38744e-05,3.38744e-05
46,35688.8,0.92983,1.05574,1.05386,0.94245,0.77693,0.82622,0.60796,1.00558,1.17,1.10885,2.8667e-05,2.8667e-05,2.8667e-05
47,36234.9,0.92158,1.05161,1.04733,0.9462,0.76872,0.82408,0.60898,1.01467,1.18104,1.11096,2.34596e-05,2.34596e-05,2.34596e-05
48,36763.4,0.92243,1.01939,1.04523,0.94368,0.78173,0.8354,0.61918,0.99186,1.14752,1.10154,1.82522e-05,1.82522e-05,1.82522e-05
49,37284.5,0.9224,1.04043,1.04733,0.94104,0.78214,0.83341,0.61666,1.00267,1.15686,1.1053,1.30448e-05,1.30448e-05,1.30448e-05
50,37833.7,0.93515,1.09314,1.05549,0.9401,0.78592,0.83605,0.61935,0.99449,1.14326,1.10035,7.8374e-06,7.8374e-06,7.8374e-06
